         787723273 function calls (749763114 primitive calls) in 15357.728 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       13    0.561    0.043    3.058    0.235 __init__.py:1(<module>)
        2    0.004    0.002    0.004    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
       31    0.000    0.000    0.000    0.000 __init__.py:100(disallow_types)
        1    0.000    0.000    0.000    0.000 __init__.py:1008(Manager)
        1    0.008    0.008    0.008    0.008 __init__.py:101(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1013(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1023(getLogger)
        1    0.037    0.037    0.189    0.189 __init__.py:104(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
        1    0.075    0.075    0.824    0.824 __init__.py:106(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:106(with_metaclass)
        1    0.000    0.000    0.000    0.000 __init__.py:1064(rc_context)
        2    0.000    0.000    0.000    0.000 __init__.py:1069(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1110(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ModuleDeprecationWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:1125(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:113(compare_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:1137(setLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:1172(get_backend)
        4    0.000    0.000    0.000    0.000 __init__.py:1184(is_interactive)
        1    0.017    0.017    0.018    0.018 __init__.py:119(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(addHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:13(register)
        5    0.000    0.000    0.000    0.000 __init__.py:131(metaclass)
       10    0.000    0.000    0.000    0.000 __init__.py:134(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:134(get_projection_names)
        1    0.050    0.050    0.135    0.135 __init__.py:138(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1385(RootLogger)
       31    0.000    0.000    0.001    0.000 __init__.py:139(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:1391(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1399(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:14(pylab_setup)
        1    0.063    0.063    0.589    0.589 __init__.py:142(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.053    0.053    0.113    0.113 __init__.py:15(<module>)
        1    0.069    0.069    0.151    0.151 __init__.py:151(<module>)
        1    0.037    0.037    0.118    0.118 __init__.py:153(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1565(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1687(NullHandler)
       31    0.000    0.000    0.000    0.000 __init__.py:170(no)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.012    0.012    0.012    0.012 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        5    0.000    0.000    0.000    0.000 __init__.py:183(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.011    0.011    0.013    0.013 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.057    0.057    0.204    0.204 __init__.py:197(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.052    0.052    0.073    0.073 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:21(get_projection_class)
        3    0.000    0.000    0.013    0.004 __init__.py:210(_is_writable_dir)
        4    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.147    0.147    1.544    1.544 __init__.py:225(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:232(RenameImport)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        2    0.000    0.000    0.000    0.000 __init__.py:264(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:275(set_fileo)
       19    0.000    0.000    0.000    0.000 __init__.py:290(report)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        4    0.066    0.017    0.105    0.026 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:301(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:302(hooks)
     11/7    0.000    0.000    0.006    0.001 __init__.py:311(wrapper)
        1    0.073    0.073    0.266    0.266 __init__.py:321(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:322(ge)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:353(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        2    0.053    0.027    0.065    0.032 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:397(__init__)
        1    0.002    0.002    0.003    0.003 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:401(suspend_hooks)
        1    0.000    0.000    0.000    0.000 __init__.py:406(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        2    0.040    0.020    0.043    0.022 __init__.py:44(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:442(checkdep_usetex)
        1    0.029    0.029    0.052    0.052 __init__.py:45(<module>)
        2    0.065    0.033    0.077    0.038 __init__.py:48(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:483(_get_home)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:50(get_projection_class)
        1    0.000    0.000    0.000    0.000 __init__.py:501(BufferingFormatter)
        1    0.018    0.018    0.038    0.038 __init__.py:52(<module>)
        1    0.022    0.022    0.037    0.037 __init__.py:527(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:528(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:537(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:543(Filter)
        3    0.000    0.000    0.013    0.004 __init__.py:546(_get_config_or_cache_dir)
        1    0.022    0.022    0.127    0.127 __init__.py:57(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:577(_get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:580(Filterer)
        4    0.000    0.000    0.000    0.000 __init__.py:585(__init__)
        2    0.010    0.005    0.011    0.006 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        1    0.000    0.000    0.001    0.001 __init__.py:60(<module>)
        2    0.000    0.000    0.005    0.003 __init__.py:602(_get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:614(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:644(_addHandlerRef)
        1    0.016    0.016    0.046    0.046 __init__.py:65(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:653(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:654(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:663(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:686(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:692(createLock)
        1    0.016    0.016    0.073    0.073 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        1    0.000    0.000    0.000    0.000 __init__.py:737(exclude_local_folder_imports)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        1    0.000    0.000    0.000    0.000 __init__.py:762(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:766(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
      197    0.000    0.000    0.000    0.000 __init__.py:775(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:780(__setitem__)
   216384    0.143    0.000    0.143    0.000 __init__.py:796(__getitem__)
        2    0.004    0.002    0.046    0.023 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:818(StreamHandler)
        1    0.030    0.030    0.033    0.033 __init__.py:82(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:825(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<module>)
        1    0.046    0.046    0.050    0.050 __init__.py:85(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:852(rc_params)
        1    0.001    0.001    0.011    0.011 __init__.py:868(rc_params_from_file)
        2    0.018    0.009    0.024    0.012 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:889(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:91(process_projection_requirements)
        1    0.000    0.000    0.000    0.000 __init__.py:961(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:967(__init__)
        1    0.117    0.117    0.249    0.249 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _arraytools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:149(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:216(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:230(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:246(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:57(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
        3    0.000    0.000    0.000    0.000 _cm.py:96(get_color_function)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        1    0.002    0.002    0.003    0.003 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:49(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:497(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:72(__init__)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:241(MatrixPowerOperator)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:316(LazyOperatorNormInfo)
        1    0.001    0.001    0.001    0.001 _find_contours.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:336(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:162(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.001    0.001    0.008    0.008 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:246(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:438(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:445(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.001    0.001    0.001    0.001 _label.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        1    0.036    0.036    0.243    0.243 _marching_cubes.py:1(<module>)
        1    0.007    0.007    0.127    0.127 _marching_cubes.py:259(_correct_mesh_orientation)
        1    0.034    0.034    0.361    0.361 _marching_cubes.py:7(marching_cubes)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:21(SqrtmError)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1767(<genexpr>)
        1    0.001    0.001    0.001    0.001 _mathtext_data.py:3(<module>)
      294    0.008    0.000    0.010    0.000 _methods.py:15(_amax)
      252    0.000    0.000    0.002    0.000 _methods.py:19(_amin)
        4    0.000    0.000    0.009    0.002 _methods.py:23(_sum)
  3554305    3.896    0.000   21.870    0.000 _methods.py:31(_any)
   106562    0.132    0.000    0.619    0.000 _methods.py:35(_all)
   105500    0.197    0.000    0.266    0.000 _methods.py:39(_count_reduce_items)
   105500    0.503    0.000    1.430    0.000 _methods.py:49(_mean)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.051    0.051    0.062    0.062 _minimize.py:8(<module>)
        1    0.001    0.001    0.001    0.001 _moments.py:2(<module>)
        1    0.023    0.023    0.023    0.023 _ni_support.py:31(<module>)
        3    0.004    0.001    0.004    0.001 _ni_support.py:38(_extend_mode_to_code)
       15    0.007    0.000    0.013    0.001 _ni_support.py:70(_get_output)
        9    0.000    0.000    0.000    0.000 _ni_support.py:90(_check_axis)
        1    0.000    0.000    0.000    0.000 _ode.py:1016(lsoda)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.003    0.003    0.003    0.003 _ode.py:39(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:434(complex_ode)
        1    0.000    0.000    0.000    0.000 _ode.py:550(IntegratorConcurrencyError)
        1    0.000    0.000    0.000    0.000 _ode.py:564(IntegratorBase)
        1    0.000    0.000    0.000    0.000 _ode.py:612(vode)
        1    0.000    0.000    0.000    0.000 _ode.py:766(zvode)
        1    0.000    0.000    0.000    0.000 _ode.py:880(dopri5)
        1    0.000    0.000    0.000    0.000 _ode.py:965(dop853)
        1    0.000    0.000    0.000    0.000 _onenormest.py:2(<module>)
        1    0.017    0.017    0.283    0.283 _peak_finding.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _plotutils.py:1(<module>)
        1    0.013    0.013    1.558    1.558 _polygon.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:113(get_active)
        3    0.000    0.000    0.000    0.000 _pylab_helpers.py:122(set_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:14(Gcf)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:35(get_fig_manager)
        1    0.000    0.000    2.016    2.016 _pylab_helpers.py:46(destroy)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:92(has_fignum)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:99(get_all_fig_managers)
        1    0.024    0.024    0.032    0.032 _regionprops.py:2(<module>)
        1    0.000    0.000    0.003    0.003 _regionprops.py:589(_parse_docs)
       37    0.000    0.000    0.001    0.000 _regionprops.py:596(<genexpr>)
        1    0.000    0.000    0.003    0.003 _regionprops.py:601(_install_properties_docs)
       13    0.000    0.000    0.000    0.000 _regionprops.py:64(_cached)
       22    0.000    0.000    0.002    0.000 _regionprops.py:78(only2d)
        1    0.000    0.000    0.002    0.002 _regionprops.py:88(_RegionProperties)
        1    0.000    0.000    0.000    0.000 _regular_grid.py:1(<module>)
        1    0.016    0.016    0.440    0.440 _root.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _structural_similarity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        1    0.003    0.003    0.003    0.003 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:29(DoglegSubproblem)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:33(CGSteihaugSubproblem)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:22(deferred_error)
        4    0.000    0.000    0.000    0.000 _util.py:23(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:5(DeprecatedImport)
        1    0.001    0.001    0.001    0.001 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       81    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       14    0.000    0.000    0.001    0.000 abc.py:105(register)
       31    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
    20/16    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       13    0.000    0.000    0.002    0.000 abc.py:86(__new__)
       54    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.010    0.010    0.559    0.559 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 afm.py:335(AFM)
        1    0.009    0.009    0.010    0.010 afm.py:34(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:120(cauchy_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:134(boltzmann_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:150(_state)
        1    0.000    0.000    0.000    0.000 anneal.py:18(base_schedule)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:96(fast_sa)
        1    0.010    0.010    0.031    0.031 apply_parallel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:276(ArpackError)
        1    0.000    0.000    0.000    0.000 arpack.py:285(ArpackNoConvergence)
        1    0.000    0.000    0.000    0.000 arpack.py:303(_ArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:372(_SymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:589(_UnsymmetricArpackParams)
        1    0.002    0.002    0.002    0.002 arpack.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:891(SpLuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:912(LuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:926(IterInv)
        1    0.000    0.000    0.000    0.000 arpack.py:956(IterOpInv)
        1    0.000    0.000    0.000    0.000 array_printer.py:1(<module>)
        2    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        3    0.000    0.000    0.021    0.007 arrayprint.py:233(_array2string)
        3    0.000    0.000    0.000    0.000 arrayprint.py:32(product)
        3    0.000    0.000    0.021    0.007 arrayprint.py:343(array2string)
       12    0.000    0.000    0.000    0.000 arrayprint.py:457(_extendLine)
      6/3    0.000    0.000    0.001    0.000 arrayprint.py:465(_formatArray)
        1    0.012    0.012    0.012    0.012 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
        9    0.000    0.000    0.019    0.002 arrayprint.py:533(__init__)
        9    0.008    0.001    0.019    0.002 arrayprint.py:547(fillFormat)
       12    0.000    0.000    0.001    0.000 arrayprint.py:598(__call__)
       12    0.000    0.000    0.000    0.000 arrayprint.py:632(_digits)
        1    0.000    0.000    0.000    0.000 arrayprint.py:638(IntegerFormat)
        3    0.000    0.000    0.000    0.000 arrayprint.py:639(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:658(LongFloatFormat)
        9    0.000    0.000    0.000    0.000 arrayprint.py:661(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:688(LongComplexFormat)
        3    0.000    0.000    0.000    0.000 arrayprint.py:689(__init__)
